投资方,被投公司,轮次或说明,原文证据,来源链接,来源日期,置信度
天际资本（联合领投）,恺望数据,逾亿元战略融资,由北京亦庄产业升级基金、华方资本、天际资本多方联合领投,https://news.pedaily.cn/202608/567244.shtml,2026-08-04,高
奇绩创坛,智能知识,种子轮,种子轮获得五源资本和奇绩创坛投资,https://news.qq.com/rain/a/20260608A079S700,2026-06-08,中
安朴资本,曼孚科技 MindFlow,B轮数千万元,曼孚科技完成数千万元B轮融资，安朴资本投资,https://startup.aliyun.com/info/1066147.html,2023-10,中
峰瑞资本（领投）,整数智能 MolarData,A轮数千万元,完成数千万元A轮融资，由峰瑞资本领投，老股东藕舫天使跟投,https://36kr.com/p/2902815664806528,2024-08-12,高
杭州金投集团旗下基金,景联文科技,Pre-A轮数千万元,完成数千万元Pre-A轮融资，投资方为杭州金投集团旗下基金,https://www.jiemian.com/article/12836464.html,2025-05-28,高
松延动力,恺望数据,具身智能公司跟投（亦为数据需求方）,鹿明机器人、松延动力、自变量机器人、智元旗下觅蜂科技等头部具身智能公司跟投,https://news.pedaily.cn/202608/567244.shtml,2026-08-04,高
深产投,博登智能 Boden AI,A+/A++轮数亿元,本轮融资由鼎晖百孚、清新资本、鲁信创投、深产投等多家知名机构联合投资,https://finance.sina.com.cn/tech/roll/2026-06-02/doc-inhzyxft1727801.shtml,2026-06-02,高
清新资本,博登智能 Boden AI,A+/A++轮数亿元,本轮融资由鼎晖百孚、清新资本、鲁信创投、深产投等多家知名机构联合投资,https://finance.sina.com.cn/tech/roll/2026-06-02/doc-inhzyxft1727801.shtml,2026-06-02,高
瑞夏资本,星尘数据 Stardust,A轮5000万元,完成5000万元A轮融资，华映资本领投,https://finance.sina.cn/tech/2023-01-04/detail-imxyzfyi9043456.d.html,2023-01-04,中
耀途资本,智能知识,天使轮,完成天使轮融资，锦秋基金、耀途资本联合投资,https://human-intelligence.xpertiise.com/blog/series-a-financing-announcement/,2026-06,高
腾讯,UniPat AI,参投,Tencent and existing investors like Sequoia China are also participating,https://news.qq.com/rain/a/20260910A0AI5600,2026-09-10,中
自变量机器人,恺望数据,具身智能公司跟投（亦为数据需求方）,鹿明机器人、松延动力、自变量机器人、智元旗下觅蜂科技等头部具身智能公司跟投,https://news.pedaily.cn/202608/567244.shtml,2026-08-04,高
藕舫天使,整数智能 MolarData,A轮数千万元,完成数千万元A轮融资，由峰瑞资本领投，老股东藕舫天使跟投,https://36kr.com/p/2902815664806528,2024-08-12,高
觅蜂科技（智元旗下）,恺望数据,具身智能公司跟投（亦为数据需求方）,鹿明机器人、松延动力、自变量机器人、智元旗下觅蜂科技等头部具身智能公司跟投,https://news.pedaily.cn/202608/567244.shtml,2026-08-04,高
金沙江创投（领投）,龙猫数据,A轮3370万元,A轮融资，本轮由金沙江创投领投，九合创投、不惑创投继续跟投,https://36kr.com/p/1721971671041,未核（早于2024）,低
锦秋基金,智能知识,天使轮,完成天使轮融资，锦秋基金、耀途资本联合投资,https://human-intelligence.xpertiise.com/blog/series-a-financing-announcement/,2026-06,高
阿里巴巴,UniPat AI,领投3亿美元融资，估值25亿美元（谈判中）,阿里巴巴据悉领投AI初创UniPat 估值25亿美元,https://news.qq.com/rain/a/20260910A075JF00,2026-09-10,中
鲁信创投,博登智能 Boden AI,A+/A++轮数亿元,本轮融资由鼎晖百孚、清新资本、鲁信创投、深产投等多家知名机构联合投资,https://finance.sina.com.cn/tech/roll/2026-06-02/doc-inhzyxft1727801.shtml,2026-06-02,高
鹿明机器人,恺望数据,具身智能公司跟投（亦为数据需求方）,鹿明机器人、松延动力、自变量机器人、智元旗下觅蜂科技等头部具身智能公司跟投,https://news.pedaily.cn/202608/567244.shtml,2026-08-04,高
鼎晖百孚,博登智能 Boden AI,A+/A++轮数亿元,本轮融资由鼎晖百孚、清新资本、鲁信创投、深产投等多家知名机构联合投资,https://finance.sina.com.cn/tech/roll/2026-06-02/doc-inhzyxft1727801.shtml,2026-06-02,高
