供应商,客户或合作方,客户类型,关系类型,工作内容或领域,原文证据,来源链接,来源日期,来源类型,置信度,分段
Surge AI,Google DeepMind,其他,客户,Forbes 报道列出的客户,"With the support of customers such as Google, Meta, Microsoft, Anthropic, and Mistral",https://www.forbes.com/sites/phoebeliu/2025/09/17/the-ai-billionaire-youve-never-heard-of/,2025-09-17,媒体报道（搜索摘要）,中,overseas-large
TELUS Digital,Google DeepMind,科技大厂,财报披露,Google 是最大外部客户，2019 年占收入约 12%；2019 年 Google 占 Lionbridge AI 收入 65%,"Google accounted for 65% of Lionbridge AI's revenue in the year ended December 31, 2019",https://www.sec.gov/Archives/edgar/data/868675/000110465921045670/tm219669d2_ex99-1.pdf,2021,财报,低,overseas-large
TELUS Digital,Google DeepMind,科技大厂,财报披露,2024 年对 Google 的收入增长抵消了部分科技客户的下滑,"offset by growth in revenue from other clients within this industry vertical, including Google",https://www.businesswire.com/news/home/20250213367125/en/TELUS-Digital-reports-fourth-quarter-and-full-year-2024-results-delivering-stable-operating-and-financial-performance-provides-outlook-for-2025,2025-02-13,财报,高,overseas-large
TELUS Digital,Google DeepMind,科技大厂,财报披露,2025 Q1 来自 Google 等科技与电商客户的收入下降,"lower revenues from certain technology and eCommerce clients, including Google",https://www.sec.gov/Archives/edgar/data/868675/000110465925046469/tm2510346d2_ex99-1.htm,2025-05,财报（搜索摘要）,中,overseas-large
Turing,Google DeepMind,其他,客户,为这些公司生成专家级数据集,"Turing works with OpenAI, Anthropic, Meta, Google, Microsoft, Nvidia, and Amazon to generate expert-level datasets",https://www.sourcery.vc/p/exclusive-inside-the-22b-ai-research,2025-03,媒体报道（搜索摘要）,中,overseas-large
Turing,Google DeepMind,frontier lab,客户,关键需求方，用于训练数据、评测、后训练,"Clients including OpenAI, Google, Anthropic, and Meta became key demand sources",https://sacra.com/c/turing/,2025,二手转述（搜索摘要）,低,overseas-large
Vals AI,Google DeepMind,frontier lab,客户,模型评测结果使用（法律/金融/编程基准）,"Vals' results are utilized by OpenAI, Anthropic, Google, Meta, and xAI（搜索摘要）",https://www.citybiz.co/article/890247/vals-ai-raises-40m-to-expand-independent-ai-benchmarking/,2026-08,搜索摘要,低,overseas-rl
Welocalize,Google DeepMind,科技大厂,招聘暗示,搜索质量评分员项目（行业普遍认为是 Google 的外包评分员）,"Telus International, Appen Connect and Welocalize are the vendor companies of Google for its Quality Rater job",https://up2staff.com/internet-rater-at-welocalize,n/a,二手转述（搜索摘要）,低,overseas-large
光轮智能 Lightwheel,Google DeepMind,frontier lab,合作,仿真资产/合成数据/评测,合作伙伴涵盖英伟达、谷歌、Figure AI、1X Technologies…阿里、智元机器人…比亚迪、吉利等,https://finance.sina.com.cn/wm/2026-03-12/doc-inhqtcut4893757.shtml,2026-03-12,融资稿/媒体报道,中,china
光轮智能 Lightwheel,Google DeepMind,frontier lab,合作,Newton开源物理引擎指导委员会,加入开源GPU加速物理引擎Newton，与谷歌DeepMind、英伟达…引领推动,https://news.bjd.com.cn/2026/05/29/11773323.shtml,2026-05-29,媒体报道/搜索摘要,中,china
光轮智能 Lightwheel,Google DeepMind,frontier lab,官网客户墙（转述）,仿真资产与合成数据集用于具身智能,"partners including Google DeepMind, Figure, AgiBot, ByteDance, Geely, and BYD leverage the Lightwheel Simulation Platform",https://www.nvidia.com/en-us/case-studies/lightwheel/,2026,NVIDIA 客户案例（搜索摘要）,中,china
未具名供应商,Google DeepMind,frontier lab,论文致谢,外部安全测试（付费的民间与商业机构）,Groups included civil society and commercial organizations. The groups testing the model checkpoints were compensated,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,2025-06,技术报告原文,高,buyer-side
Arga Labs,Gradient Ventures,其他,投资方,种子轮投资（$10M）,"General Catalyst led Arga's seed round, with BoxGroup, Emergence, Gradient and SV Angel participating（搜索摘要）",https://techcrunch.com/2026/08/26/arga-is-building-a-better-way-to-train-enterprise-ai-agents/,2026-08-26,媒体报道,中,overseas-rl
Snorkel AI,Greylock,其他,投资方,$350M E 轮，估值 $3.5B,"co-led by Insight Partners and S32, with significant participation from existing investors Addition, Greylock, Lightspeed, GV ... Wells Fargo（搜索摘要）",https://www.prnewswire.com/news-releases/snorkel-ai-raises-350m-to-scale-the-data-factory-for-frontier-ai-302886796.html,2026-09-22,新闻稿,高,overseas-rl
Cua,H Company,AI 应用公司,合作,协助审计 computer-use 能力矩阵,H Company has been a partner in this work and helped audit the matrix for gaps（搜索摘要）,https://cua.ai/blog/computer-use-2-ai-engineer-worlds-fair,2026,搜索摘要,低,overseas-rl
Patronus AI,HP,科技大厂,客户,LLM 自动评测/幻觉检测,"Patronus AI has partnered with several notable clients, including OpenAI, HP, and Pearson（搜索摘要）",https://www.prnewswire.com/news-releases/patronus-ai-raises-17-million-to-detect-llm-mistakes-at-scale-302152825.html,2024-05,新闻稿,中,overseas-rl
Vals AI,HRT Ventures (Hudson River Trading),金融机构,投资方,A 轮跟投,alongside new institutional investors HRT Ventures and Next Ladder Ventures（搜索摘要）,https://www.kucoin.com/news/flash/ai-model-evaluation-startup-vals-secures-40m-a-round-led-by-a16z,2026-08,媒体报道,低,overseas-rl
Haize Labs,HackerOne,企业,客户,AI 红队/评测,"works with leading AI organizations including OpenAI, Anthropic, AI21 Labs, Google Cloud, Scale AI, HackerOne, Deloitte, and MongoDB（搜索摘要）",https://workos.com/blog/haize-labs-vs-workos-ai-safety-testing-enterprise-authentication,未知,第三方目录,低,overseas-rl
Mercor,Harvard Law School,高校研究机构,共建基准,APEX 基准由 Mercor 与外部专家（Sunstein、Topol）合著,"Cass R. Sunstein (Harvard Law School), and Eric Topol (The Scripps Research Institute)",https://arxiv.org/html/2509.25721v1,2025-09,论文原文,高,overseas-large
Mercor,Harvey,垂直 AI,合作,Harvey Tenet 法律模型：人类专家数据集+合成数据审校,Harvey collaborated closely with Mercor and others to build and scale human expert datasets,https://www.harvey.ai/blog/post-training-update-harvey-tenet,2026,客户官方博客,高,buyer-side
Vals AI,Harvey,垂直 AI,客户,评测平台使用,"Vercel, Exa, Fireworks AI and Harvey are listed as users of Vals' products（搜索摘要）",https://www.citybiz.co/article/890247/vals-ai-raises-40m-to-expand-independent-ai-benchmarking/,2026-08,搜索摘要,低,overseas-rl
Vals AI,Harvey,垂直 AI,共建基准,法律 AI 基准（VLAIR）参评,"VLAIR in its first iteration included four providers: Thomson Reuters, vLex, Harvey, and Vecflow ... Harvey Assistant（搜索摘要）",https://www.vals.ai/industry-reports/vlair-2-27-25,2025-02-27,官方博客,中,overseas-rl
未具名供应商,Harvey,垂直 AI,合作,除 Mercor 外的其他专家数据供应商,collaborated closely with Mercor and others,https://www.harvey.ai/blog/post-training-update-harvey-tenet,2026,客户官方博客,中,buyer-side
Gray Swan AI,Hudson River Trading,金融机构,投资方,A 轮 $40M 跟投,"co-led by Wing Venture Capital and Madrona. Obvious Ventures, Snowflake Ventures, Hudson River Trading, Samsung Next ... also participated（搜索摘要）",https://www.finsmes.com/2026/06/gray-swan-raises-40m-in-series-a-funding.html,2026-06,媒体报道,中,overseas-rl
Bespoke Labs,Hugging Face,AI 应用公司,合作,联合举办推理数据集竞赛（Curator）,Launching Reasoning Datasets Competition with HuggingFace and Together.ai,https://raw.githubusercontent.com/bespokelabsai/curator/main/README.md,2025-04-09,官方 GitHub README,高,overseas-rl
Prime Intellect,Hugging Face,其他,合作,Lab 平台上可 RL 微调的开源模型,"Lab lets users run reinforcement learning on a wide range of open models from Nvidia, Arcee, Hugging Face, Allen AI, Z AI, Qwen（搜索摘要）",https://www.primeintellect.ai/blog/lab,2026-02,官方博客,低,overseas-rl
Snorkel AI,Hugging Face,其他,合作,300 万美元 Open Benchmarks Grants，资助开源智能体基准,"We're partnering up with @HuggingFace, @togethercompute, @PrimeIntellect, Factory HQ, @harborframework, and @PyTorch",https://x.com/SnorkelAI/status/2022006467000471903,2026-02,供应商官方,高,overseas-large
Snorkel AI,Hugging Face,AI 应用公司,合作,$3M Open Benchmarks Grants 共同支持方,"a $3 million grant program ... established with support from Hugging Face, Prime Intellect, Together AI, Factory, Harbor, and PyTorch（搜索摘要）",https://www.prnewswire.com/news-releases/snorkel-ai-highlights-first-wave-of-open-benchmarks-grants-projects-302833805.html,2026-07-24,新闻稿,高,overseas-rl
DataForce,IBM,科技大厂,论文致谢,Granite Guardian 风险检测人工标注,Human annotations for Granite Guardian are obtained ... in partnership with DataForce,https://arxiv.org/pdf/2412.07724,2024-12,论文原文（搜索摘要）,中,buyer-side
SuperAnnotate,IBM,企业,客户,B 轮报道列出的客户,"customers include Databricks, Canva, Motorola Solutions, IBM, and Qualcomm",https://techcrunch.com/2024/11/18/superannotate-helps-companies-manage-their-ai-data-sets/,2024-11-18,媒体报道,低,overseas-large
Adaptive ML,ICONIQ Capital,其他,投资方,$20M 种子轮跟投,led by Index Ventures along with ICONIQ Capital（搜索摘要）,https://www.businesswire.com/news/home/20240312461522/en/Adaptive-ML-Raises-$20M-to-Help-Companies-Build-Unique-GenAI-Experiences,2024-03-12,新闻稿,高,overseas-rl
Adaptive ML,Index Ventures,其他,投资方,$20M 种子轮领投,Adaptive ML raised $20M in seed funding led by Index Ventures along with ICONIQ Capital（搜索摘要）,https://www.businesswire.com/news/home/20240312461522/en/Adaptive-ML-Raises-$20M-to-Help-Companies-Build-Unique-GenAI-Experiences,2024-03-12,新闻稿,高,overseas-rl
Matrices,Index Ventures,其他,投资方,种子轮约 500 万美元,"backed by Index Ventures, AI Grant (Nat Friedman & Daniel Gross), and Naval Ravikant（搜索摘要）",https://www.crunchbase.com/organization/matrices-f9d0,2024-03,第三方目录（搜索摘要）,低,overseas-rl
Snorkel AI,Insight Partners（联合领投）,其他,投资方,$350M E 轮，估值 $3.5B,"co-led by Insight Partners and S32, with significant participation from existing investors Addition, Greylock, Lightspeed, GV ... Wells Fargo（搜索摘要）",https://www.prnewswire.com/news-releases/snorkel-ai-raises-350m-to-scale-the-data-factory-for-frontier-ai-302886796.html,2026-09-22,新闻稿,高,overseas-rl
Prime Intellect,Intel (Intel Capital),科技大厂,投资方,A 轮跟投,"led by Radical Ventures with Nvidia Ventures, Intel Capital, Dell Technologies Capital, and Iconiq.（搜索摘要）",https://techcrunch.com/2026/07/08/prime-intellect-raises-130m-series-a-to-help-enterprises-build-their-own-ai-agents/,2026-07-08,媒体报道,中,overseas-rl
Bespoke Labs,Jeff Dean（Google，个人天使）,科技大厂,投资方,种子轮个人天使投资,"seed round led by 8VC, with participation from Jeff Dean, Resolve AI CEO Spiros Xanthos, DevRev CEO Dheeraj Pandey（搜索摘要）",https://www.businesswire.com/news/home/20260706827813/en/Bespoke-Labs-Announces-$40M-to-Build-the-Environments-That-Train-Reliable-Agents,2026-07-06,新闻稿,高,overseas-rl
Bespoke Labs,Juelich Supercomputing Center (JSC),高校研究机构,合作,OpenThoughts 推理数据集联合研究/算力,"Juelich Supercomputing Center (JSC), LAION, UCLA, UNC Chapel Hill",https://raw.githubusercontent.com/open-thoughts/open-thoughts/main/README.md,未知,官方 GitHub README,高,overseas-rl
Prolific,KCL,其他,客户,研究与企业客户,including industry giants like Google and prestigious institutions such as Stanford University,https://sacra.com/c/prolific/,2026,二手转述（搜索摘要）,低,overseas-large
龙猫数据,KIP中国（领投）,其他,投资方,Pre-B轮3300万元,获3300万元Pre-B轮融资，KIP中国领投,https://m.pedaily.cn/news/451946,未核（早于2024）,融资稿/搜索摘要,低,china
Collinear AI,Khasm Labs,其他,合作,加入 Khasm Labs 第 11 期加速器（对接电信/科技大厂）,Collinear AI is joining Khasm Labs' Batch 11（搜索摘要）,https://www.linkedin.com/posts/collinearai_big-news-collinear-ai-is-joining-khasm-activity-7308270983163875329-A6m3,2025-03,官方社媒,低,overseas-rl
Applied Compute,Kleiner Perkins,其他,投资方,2026-04 $80M 轮，估值 $1.3B,priced at $1.3 billion in an $80 million April round led by Kleiner Perkins（搜索摘要）,https://www.forbes.com/sites/richardnieva/2026/09/01/applied-compute-openai-the-ex-openai-guys-building-cheaper-open-source-alternative/,2026-09-01,媒体报道,中,overseas-rl
Collinear AI,Kore.ai,AI 应用公司,客户,客服智能体数据包、9 语种安全与质量,Collinear recently partnered with Kore.ai to enhance their XO GPT suite of models（搜索摘要）,https://www.collinear.ai/case-studies/transforming-enterprise-ai-with-innovation-and-safety,未知,官方案例,高,overseas-rl
Bespoke Labs,LAION,其他,合作,OpenThoughts 推理数据集联合研究,"Juelich Supercomputing Center (JSC), LAION, UCLA, UNC Chapel Hill, UT Austin, and Toyota Research Institute",https://raw.githubusercontent.com/open-thoughts/open-thoughts/main/README.md,未知,官方 GitHub README,高,overseas-rl
Bespoke Labs,Laude Institute,高校研究机构,共建基准,Terminal-Bench（Stanford+Laude 主导的开放学术合作；Bespoke 提供 API 额度）,Bespoke Labs provided API credits supporting leaderboard evaluations（搜索摘要）,https://arxiv.org/abs/2601.11868,2026-01,论文,低,overseas-rl
Snorkel AI,Laude Institute,高校研究机构,共建基准,Frontier-Bench（原 Terminal-Bench 3.0）/Terminal-Bench Science,"Frontier-Bench (formerly Terminal-Bench 3.0), developed with Laude Institute and the Harbor community（搜索摘要）",https://benchmarks.snorkel.ai/,2026,官方博客,中,overseas-rl
Huzzle Labs,Lazard,金融机构,官网客户墙（转述）,RL 环境/专家轨迹/评测（官网自称，未经第三方核实）,"Self-claimed customers include Apple, Lazard, and Financial Times ... no third-party verification（搜索摘要）",https://www.rl-list.com/vendors/huzzle-labs,2026,第三方目录,低,overseas-rl
Vals AI,Legaltech Hub,其他,合作,法律 AI 基准研究合作方,developed in partnership with the research firm Legaltech Hub（搜索摘要）,https://www.artificiallawyer.com/2025/02/27/vals-publishes-results-of-first-legal-ai-benchmark-study/,2025-02-27,媒体报道,中,overseas-rl
AfterQuery,Legora,垂直 AI,客户,法律领域专家数据,"It has named companies such as Nvidia, Legora, and the Korean AI lab Motif Technologies as customers.（搜索摘要）",https://techcrunch.com/2026/09/01/afterquery-reportedly-becomes-y-combinators-fastest-ever-unicorn-now-valued-at-3-2b/,2026-09-01,媒体报道,中,overseas-rl
Centific,Lenovo,其他,客户,融资报道列出的客户,"Centific's customers include OpenAI, Anthropic PBC, xAI Inc., Mistral AI SAS, Microsoft Corp., Google LLC",https://siliconangle.com/2025/06/25/ai-data-foundry-provider-centific-lands-60m-grow-enterprise-footprint/,2025-06-25,媒体报道,中,overseas-large
Vals AI,LexisNexis (Lexis+AI),垂直 AI,客户变动（停止合作等）,法律 AI 基准退出,Lexis+AI (from LexisNexis) was initially evaluated but withdrew from the sections studied in this report（搜索摘要）,https://www.vals.ai/industry-reports/vlair-2-27-25,2025-02-27,官方博客,中,overseas-rl
Snorkel AI,Lightspeed,其他,投资方,$350M E 轮，估值 $3.5B,"co-led by Insight Partners and S32, with significant participation from existing investors Addition, Greylock, Lightspeed, GV ... Wells Fargo（搜索摘要）",https://www.prnewswire.com/news-releases/snorkel-ai-raises-350m-to-scale-the-data-factory-for-frontier-ai-302886796.html,2026-09-22,新闻稿,高,overseas-rl
Abaka AI,M-A-P,科技大厂,共建基准,SuperGPQA 285学科研究生级评测集,作者名单：…Jiaheng Liu and Qunshu Lin and Wenhao Huang and Ge Zhang（论文亦列2077AI合作，后者为搜索摘要）,https://raw.githubusercontent.com/SuperGPQA/SuperGPQA/main/README.md,2025-02,论文/GitHub,中,china
Abaka AI,M-A-P,高校研究机构,共建基准,KINA知识评测基准,"KINA is developed through a collaboration among 2077AI, M-A-P, the University of Tokyo, and CMU",https://arxiv.org/pdf/2606.05104,2026-06,论文/搜索摘要,中,china
Pareto.AI,MATS,其他,合作,专家整理的数据集与评测,"partnerships with leading AI research organizations, including Anthropic, Character AI, METR, and MATS",https://grokipedia.com/page/Pareto_AI,2025,二手转述（搜索摘要）,低,overseas-large
Pareto.AI,MATS,高校研究机构,论文致谢,标注员参与 AI 安全研究（辩论评测）,"Pareto.AI's skilled labelers contributed to AI safety research conducted by teams at UCL, ML Alignment & Theory Scholars, and Anthropic",https://pareto.ai/blog/advancing-ai-alignment-through-human-judged-llm-debates,2024,供应商官方,低,overseas-large
Pareto.AI,METR,其他,合作,专家整理的数据集与评测,"partnerships with leading AI research organizations, including Anthropic, Character AI, METR, and MATS",https://grokipedia.com/page/Pareto_AI,2025,二手转述（搜索摘要）,低,overseas-large
Abaka AI,MMAR音频推理基准合作方,高校研究机构,共建基准,语音/音频/音乐深度推理评测,2077AI is also listed as an affiliation in research on MMAR,https://arxiv.org/html/2505.13032v1,2025-05,论文/搜索摘要,低,china
Adaptive ML,Manulife,金融机构,客户,多年期协议，RLOps 层（核保报价、销售顾问等）,Manulife is deploying Adaptive Engine as the strategic reinforcement learning operations (RLOps) layer for its global AI platform（搜索摘要）,https://www.manulife.com/ca/en/about-us/news/manulife-selects-adaptive-ml-to-scale-enterprise-ai,2025-12-22,新闻稿,高,overseas-rl
Adaptive ML,Manulife,金融机构,客户,多年期协议，模型微调,Manulife Selects Adaptive ML as Reinforcement Learning Engine to Scale Enterprise AI（搜索摘要）,https://www.prnewswire.com/news-releases/manulife-selects-adaptive-ml-as-reinforcement-learning-engine-to-scale-enterprise-ai-302647271.html,2025-12-22,新闻稿,高,overseas-rl
Vals AI,McDermott Will & Emery,企业,合作,法律 AI 基准律所联盟（律师对照组）,"developed in partnership with ... Legaltech Hub and a consortium of law firms including Reed Smith, Fisher Phillips, McDermott Will and Emery, and Ogletree Deakins（搜索摘要）",https://www.artificiallawyer.com/2025/02/27/vals-publishes-results-of-first-legal-ai-benchmark-study/,2025-02-27,媒体报道,中,overseas-rl
Fleet,Menlo Ventures,其他,投资方,融资,"the company is supported by Sequoia Capital, Menlo Ventures, and SV Angel（搜索摘要）",https://sacra.com/c/fleet/,2026,搜索摘要,低,overseas-rl
Applied Compute,Mercor,其他,客户,定制 RL 后训练模型 / 企业代理,"Its customers include DoorDash, coding startup Cognition, and data labelling firm Mercor（搜索摘要）",https://www.forbes.com/sites/richardnieva/2026/09/01/applied-compute-openai-the-ex-openai-guys-building-cheaper-open-source-alternative/,2026-09-01,媒体报道,中,overseas-rl
Applied Compute,Mercor,其他,合作,用 Mercor 专家数据后训练法律/投行模型，APEX-Agents 公司法第一,"We partnered with @mercor_ai to post-train custom models on high-quality expert data from fields like law, investment banking, and consulting（搜索摘要）",https://x.com/appliedcompute/status/2026410833790775552,2026,官方博客,高,overseas-rl
Deeptune,Mercor,其他,客户变动（停止合作等）,被 Mercor 收购，团队并入纽约办公室,Mercor acquires Deeptune to build AI training environments（搜索摘要）,https://www.mercor.com/blog/mercor-to-acquire-deeptune/,2026-07,官方博客,高,overseas-rl
Deeptune,Mercor,其他,客户变动（停止合作等）,被收购；Foody 称收购是其天使投资的主要动机,Foody telling Fortune the future acquisition was 'in a lot of ways the main motivation' for that investment.（搜索摘要）,https://fortune.com/2026/07/09/ai-unicorn-mercor-acquires-deeptune-brendan-foody-investor-a16z-openai-anthropic/,2026-07-09,媒体报道,中,overseas-rl
Scale AI,Mercor,其他,客户变动（停止合作等）,"起诉 Mercor 与前员工窃取商业秘密，称其向""Customer A""（Scale 最大客户之一）推销","Ling then contacted one of Scale's top clients, referred to as ""Customer A,"" on behalf of Mercor",https://dockets.justia.com/docket/california/candce/3:2025cv07402/455638,2025-09-03,公开诉讼文件,高,overseas-large
Sepal AI,Mercor,其他,客户变动（停止合作等）,被 Mercor 收购（接手其与前沿实验室研究员的关系）,Mercor Acquires Sepal AI（搜索摘要）,https://www.orrick.com/en/News/2026/02/Mercor-Acquires-Sepal-AI,2026-02,律所公告,高,overseas-rl
Sepal AI,Mercor,其他,客户变动（停止合作等）,被 Mercor 收购，长程研究/RL 环境,Today we're welcoming Sepal AI to Mercor（搜索摘要）,https://www.linkedin.com/posts/mercor-ai_today-were-welcoming-sepal-ai-to-mercor-activity-7424897704905826304-N_PJ,2026-02,官方社媒,高,overseas-rl
Spirit Airlines,Mercor,其他,客户变动（竞购未成交）,竞购企业工作流数据（出价750万美元，次高）,"Google beat out AI-powered hiring company Mercor, which submitted the next-highest bid of $7.5 million",https://www.forbes.com/sites/sandycarter/2026/08/23/ai-data-wars-begin-as-google-mercor-and-micro1-bid-for-spirits-data/,2026-08-23,媒体报道,中,buyer-side
Deeptune,Mercor（Brendan Foody 天使）,其他,投资方,A 轮天使,"angels including Noam Brown (Research, OpenAI), Brendan Foody (CEO, Mercor), and Yash Patil (CEO, Applied Compute).（搜索摘要）",https://deeptune.com/blog/series-a/,2026-03,官方博客,中,overseas-rl
AfterQuery,Meta,frontier lab,投资方,A 轮天使跟投,"participation from The Raine Group, Y Combinator, Latitude Capital, BoxGroup, and angels from Google DeepMind, OpenAI, Anthropic, Meta Superintelligence Labs, and Microsoft AI.（搜索摘要）",https://www.businesswire.com/news/home/20260409469482/en/AfterQuery-Raises-$30-Million-Series-A-Round-at-$300-Million-Valuation,2026-04-09,新闻稿,高,overseas-rl
Bespoke Labs,Meta,frontier lab,投资方,A 轮个人天使投资,"Series A ... with participation from Mayfield, The House Fund, dbt Labs CEO Tristan Handy, and other angels from Anthropic, OpenAI, and Meta（搜索摘要）",https://www.businesswire.com/news/home/20260706827813/en/Bespoke-Labs-Announces-$40M-to-Build-the-Environments-That-Train-Reliable-Agents,2026-07-06,新闻稿,高,overseas-rl
Bespoke Labs,Meta,frontier lab,投资方,A 轮个人天使投资,"Backed by Anthropic, OpenAI, and Meta insiders, Bespoke Labs raises $40M（搜索摘要）",https://techfundingnews.com/backed-by-anthropic-openai-and-meta-insiders-bespoke-labs-raises-40m-can-better-environments-beat-bigger-models/,2026-07,媒体报道,中,overseas-rl
CrowdStrike,Meta,科技大厂,共建基准,CyberSOCEval 网络安全评测基准,CrowdStrike and Meta Deliver New Benchmarks for the Evaluation of AI Performance in Cybersecurity,https://ir.crowdstrike.com/news-releases/news-release-details/crowdstrike-and-meta-deliver-new-benchmarks-evaluation-ai,2025,上市公司新闻稿,高,buyer-side
General Reasoning,Meta,frontier lab,合作,OpenReward 平台环境贡献者（自列）,"Contributors listed on the platform include Meta, Google DeepMind, Qwen, Nebius, Sarvam（搜索摘要）",https://openreward.ai/,未知,官网,低,overseas-rl
Gray Swan AI,Meta,科技大厂,客户,AI 红队/安全评测,"It already works with more than 20 customers, including Anthropic, OpenAI, and Meta（搜索摘要）",https://fintech.global/2026/06/01/gray-swan-raises-40m-to-secure-ai-at-the-frontier/,2026-06-01,媒体报道,中,overseas-rl
Gray Swan AI,Meta,科技大厂,合作,Gray Swan Arena 红队竞技场赞助,"Frontier Lab sponsors: UK AISI, OpenAI, Anthropic, Amazon, Meta, and Google DeepMind（搜索摘要）",https://app.grayswan.ai/arena/about,2026,官方博客,高,overseas-rl
Innodata,Meta,科技大厂,财报披露,媒体根据前员工与招聘记录推测最大客户是 Meta,Meta is the unnamed customer that has historically represented a large portion of Innodata's revenue,https://hntrbrk.com/breaking-news/innodata-muse,2026,二手转述（搜索摘要）,低,overseas-large
Irregular,Meta,科技大厂,客户,Muse Spark 1.1 网络安全评测（沙箱误联网事故）,"The model reached the public internet because of a misconfiguration in the sandbox run by Irregular, Meta's outside evaluation partner（搜索摘要）",https://thenextweb.com/news/meta-muse-spark-hacked-company-during-testing,2026-08-05,媒体报道,中,overseas-rl
Irregular,Meta,科技大厂,客户,Meta 官方披露第三方网络评测配置错误,Addressing an issue involving a third-party cyber ... testing misconfiguration (Muse Spark 1.1)（搜索摘要）,https://research.meta.ai/blog/addressing-third-party-testing-misconfiguration-muse-spark-1-1,2026-08-05,官方博客,高,overseas-rl
Irregular,Meta,frontier lab,客户,三家实验室事故均指向同一评测供应商,"OpenAI, Anthropic and Meta each disclosed that one of their models had gone off-script during safety testing, with all three incidents happening inside evaluations run by Irregular（搜索摘要）",https://www.cnbc.com/2026/08/09/israeli-startup-irregular-linked-to-ai-hacks-openai-anthropic-meta.html,2026-08-09,媒体报道,中,overseas-rl
LMArena,Meta,科技大厂,论文致谢,Llama 4 发布前私测 27 个变体（第三方论文披露）,27 private LLM variants were tested by Meta in the lead-up to the Llama-4 release（搜索摘要）,https://arxiv.org/abs/2504.20879,2025-04,论文,中,overseas-rl
LMArena,Meta,科技大厂,合作,Llama 4 实验版刷榜争议,Meta accused of Llama 4 bait-n-switch to juice LMArena rank（搜索摘要）,https://www.theregister.com/2025/04/08/meta_llama4_cheating/,2025-04-08,媒体报道,低,overseas-rl
Labelbox,Meta,科技大厂,共建基准,为 Meta 的 GIM 基准提供 820 道专家编写题目及评分细则,Labelbox produced the data foundation for Meta's GIM benchmark with 820 expert-authored problems,https://labelbox.com/blog/,2026,供应商官方（搜索摘要）,中,overseas-large
METR,Meta,科技大厂,合作,前沿风险评估试点,"METR has previously partnered with OpenAI, Anthropic, Google DeepMind, Meta and Amazon to pilot frontier risk assessments（搜索摘要）",https://metr.org/,2026,官方博客,中,overseas-rl
Mercor,Meta,科技大厂,客户,后训练数据,Meta had been working with Mercor and Surge since before TBD Labs was spun up,https://techcrunch.com/2025/08/29/cracks-are-forming-in-metas-partnership-with-scale-ai/,2025-08-29,媒体报道,中,buyer-side
Mercor,Meta,科技大厂,客户变动（停止合作等）,数据泄露后暂停合作,Meta has indefinitely paused work with $10B AI data startup Mercor after a LiteLLM supply chain attack,https://thenextweb.com/news/meta-mercor-breach-ai-training-secrets-risk,2026-04,媒体报道,中,buyer-side
Mercor,Meta,科技大厂,客户变动（停止合作等）,LiteLLM 供应链攻击导致数据泄露后，Meta 无限期暂停合作,Meta indefinitely paused all work with Mercor,https://cybernews.com/tech/meta-suspends-work-with-mercor-after-security-breach/,2026-04,媒体报道,中,overseas-large
Mercor,Meta,科技大厂,客户,TBD Lab 使用 Mercor 和 Surge,Meta's TBD Labs ... is working with third-party data labeling vendors other than Scale AI ... specifically Mercor and Surge,https://techcrunch.com/2025/08/29/cracks-are-forming-in-metas-partnership-with-scale-ai,2025-08-29,媒体报道,中,overseas-large
Proximal,Meta,frontier lab,投资方,种子轮个人天使,"backers include Scribble Ventures (lead), and angels from OpenAI, Anthropic, Thinking Machines, Google DeepMind, xAI, Meta Superintelligence, Cursor and Cognition（搜索摘要）",https://www.rl-list.com/vendors/proximal,未知,第三方目录,低,overseas-rl
Scale AI,Meta,科技大厂,投资方,49% 股权投资；语音标注等,Meta invested $14.3 billion into Scale AI and acquired a 49% stake,https://www.forbes.com/sites/janakirammsv/2025/06/23/meta-invests-14-billion-in-scale-ai-to-strengthen-model-training/,2025-06-23,媒体报道,中,buyer-side
Scale AI,Meta,科技大厂,客户变动（停止合作等）,后训练数据（研究员偏好其他供应商）,Researchers in TBD Labs see Scale AI's data as low quality and have expressed a preference to work with Surge and Mercor,https://techcrunch.com/2025/08/29/cracks-are-forming-in-metas-partnership-with-scale-ai/,2025-08-29,媒体报道,中,buyer-side
Scale AI,Meta,科技大厂,投资方,以 143 亿美元取得 49% 股权并扩大商业合作,Meta invested $14.3 billion into Scale AI and took a 49% stake,https://www.cnbc.com/2025/06/18/openai-is-winding-down-its-work-with-scale-ai-founder-is-joining-meta.html,2025-06-18,媒体报道,高,overseas-large
Scale AI,Meta,科技大厂,客户,协议扩大双方商业关系，加快部署 Scale 数据方案,the agreement substantially expanded Scale and Meta's commercial relationship to accelerate deployment of Scale's data solutions,https://scale.com/blog/scale-ai-announces-next-phase-of-company-evolution,2025-06,供应商官方（搜索摘要）,中,overseas-large
Scale AI,Meta,科技大厂,客户变动（停止合作等）,TBD Lab 研究员认为 Scale 数据质量低，更倾向用 Surge 和 Mercor,researchers in TBD Labs see Scale AI's data as low quality and have expressed a preference to work with Surge and Mercor,https://techcrunch.com/2025/08/29/cracks-are-forming-in-metas-partnership-with-scale-ai,2025-08-29,媒体报道,中,overseas-large
