分段,优先级,优先级理由,谨慎,投资方,类型,地区,本赛道已投,领投过的,常投阶段和金额,对接合伙人,合伙人来源链接,公开观点原话,观点链接,投过的直接竞品,匹配度,匹配理由,置信度
海外,,,,Nat Friedman & Daniel Gross（AI Grant / NFDG）,天使,美国,Mechanize（种子）；Matrices（AI Grant）；Scale AI（Nat Friedman）,未找到,AI Grant：每家约 $25 万无上限 SAFE + 云额度（第三方摘要）,Nat Friedman；Daniel Gross（二人 2025-06 加入 Meta，AI Grant 2026 年是否开放批次未确认）,https://www.datacenterdynamics.com/en/news/meta-in-talks-to-partially-acquire-vc-fund-nfdg-hire-nat-friedman-and-daniel-gross-for-ai-shakeup/,未找到,,Mechanize；Scale AI,低,二人已进入 Meta MSL，作为投资人可及性下降，但 Meta 是 RL 环境大买家。,低/中（搜索摘要）
海外,,,,Brendan Foody（Mercor CEO）,天使,美国,Deeptune（A 轮天使，随后 Mercor 收购）,未找到,天使,本人,https://fortune.com/2026/07/09/ai-unicorn-mercor-acquires-deeptune-brendan-foody-investor-a16z-openai-anthropic/,"Sequoia 播客 ""How RL Environments Are Built, and Why They're Your AI Moat""（仅标题，未取得原话）",https://finance.biggo.com/podcast/4135dc09c35e841c,本人即 Mercor 创始人,低,直接竞品创始人；天使投资可能是收购前奏，需谨慎。,中（Fortune，经搜索摘要）
海外,,,,Noam Brown（OpenAI）,天使,美国,Deeptune（A 轮天使）,未找到,天使,本人,,未找到,,Deeptune,中,前沿实验室 RL 研究员，背书价值高；可及性低。,中（搜索摘要）
海外,,,,Yash Patil（Applied Compute CEO）,天使,美国,Deeptune（A 轮天使）,未找到,天使,本人,,未找到,,Deeptune,中,后训练创业者，天使投资 RL 环境公司；Applied Compute 亦为潜在客户。,中（搜索摘要）
海外,,,,Jeff Dean（Google）,天使,美国,Bespoke Labs（种子天使）,未找到,天使,本人,https://www.businesswire.com/news/home/20260706827813/en/Bespoke-Labs-Announces-$40M-to-Build-the-Environments-That-Train-Reliable-Agents,未找到,,Bespoke Labs,中,顶级背书，可及性低。,高（新闻稿，经搜索摘要）
海外,,,,Dylan Patel（SemiAnalysis）,天使,美国,HUD（A 轮天使）；Prime Intellect（种子扩展天使）,未找到,天使,本人,https://www.hud.ai/blog/announcing-16m-series-a,未找到,,HUD；Prime Intellect,中,活跃的 RL 基础设施天使，影响力大。,高（公司博客，经搜索摘要）
海外,,,,Patrick Collison,天使,美国,Mechanize（种子）,未找到,天使,本人,https://techfundingnews.com/google-mechanize-1-5b-ai-deal/,未找到,,Mechanize,低,可及性低，且已投 Mechanize。,中（搜索摘要）
国内,1,国内唯一自己做 Agent 评测基准（xbench）的 VC，投了 UniPat 和 TalentsAI；先找 xbench 牵头人公元。,,红杉中国 HongShan（HSG）,VC,中国大陆/香港（人民币+美元）,UniPat AI（早期老股东，2026-09 A轮跟投）；TalentsAI（天使）；觅蜂科技（种子/天使领投，2026-08追加）；自建评测基准 xbench，并与 UniPat 联合发布 BabyVision 评测集（2026-01）,觅蜂科技（2026-02 种子+天使，数亿元）；语用科技（2026-08 与高榕联合领投，估值20亿美元）,种子到成长期都投；有单列的专项种子基金（https://www.sequoiacap.com/china/article/seed-fund/）,公元（合伙人，xbench 牵头人）；计越（合伙人，AI）；负责 UniPat 交易的具体合伙人：未找到,https://news.qq.com/rain/a/20250526A02TX700；https://www.jiemian.com/article/1632283.html,"公元（转述）：团队经历了三次题库迭代，每次模型都能很快""刷爆""现有题库（搜索摘要）",https://www.qbitai.com/2025/05/288023.html,UniPat AI（评测/RL后训练数据）；TalentsAI（专家数据）,高,【美元】【投过90后年轻团队】唯一一家自己做 Agent 评测基准的国内 VC，同时投了评测公司和专家数据公司，种子基金的阶段也对得上；缺点是已经投了 UniPat 和 TalentsAI，要先讲清差异（可执行环境+验证器+金融场景）,中
国内,2,种子轮投了专家数据公司一面千识，又投了金融 AI 公司 GIM，懂数据也懂金融，有美元基金。,,五源资本 5Y Capital,VC,中国大陆/香港（人民币+美元）,智能知识/一面千识（种子轮）；GIM（金融垂域AI，天使轮，与 Monolith 联合）,未找到本赛道领投记录,种子到成长期；本赛道金额未披露,刘芹（创始合伙人）；孟醒（合伙人，前滴滴自动驾驶COO）；井绪天（90后合伙人，2025-09晋升）；具体负责智能知识的人：未找到,https://www.5ycap.com/en/team/；https://news.qq.com/rain/a/20260106A0363600,未找到,,智能知识/一面千识（专家数据）,高,【美元】【投过金融背景年轻团队】在种子轮投了专家数据公司，又投了由前五源投资人和港大教授创办的金融 AI 公司 GIM，同时懂数据和金融；阶段也对得上,中
国内,3,美元基金，天使轮投过专家数据，出手快；最大 LP 是字节，可能帮忙打通 Seed。,,锦秋基金 Jinqiu Capital,VC,中国大陆（美元为主，另有人民币新基金）,智能知识/一面千识（天使轮，与耀途联合）；星尘智能（A/A+领投，具身本体，非数据）,智能知识（天使，联合投资）,天使到A轮为主，出手很快（一年超50个项目）；美元基金期限12年,杨洁（创始合伙人，前字节跳动财务投资负责人、前红杉）；臧天宇（合伙人）,https://news.qq.com/rain/a/20251103A01BJN00；https://www.nbd.com.cn/articles/2371979.html,杨洁（英文转述）：the data flywheel truly works——数据飞轮要真正推动收入、留存等具体业务指标（搜索摘要）,https://news.qq.com/rain/a/20251103A01BJN00,智能知识/一面千识（专家数据）,高,【美元】【大模型LP：字节是最大LP（杨洁本人说法，另有报道称字节出资新基金近半）】投过专家数据，出手频率高，通过 LP 关系可能打通字节 Seed 这个最大买家,中
国内,4,投了 GIM，曹曦公开称赞团队懂前沿 AI 也懂金融，和我们的叙事最接近。,,Monolith 砺思资本,VC,中国大陆（美元+人民币）,本赛道未找到直接数据公司；GIM（金融垂域AI，天使轮）；月之暗面、沐曦科技（AI基础设施）,GIM（天使，与五源联合）,美元二期+人民币一期合计35亿元；早期到成长期,曹曦（创始合伙人，前红杉中国合伙人）,https://news.pedaily.cn/202511/557110.shtml,曹曦：团队既有前沿AI研究能力，也真正理解金融和资产管理的复杂性（搜索摘要，谈 GIM）,https://news.pedaily.cn/202606/564923.shtml,无,高,"【美元】【投过金融/量化方向年轻团队】【大模型资源：月之暗面股东】愿意为""AI研究能力+懂金融""的团队下注，和 SimReal 的叙事最接近；不过还没投过数据公司",中
国内,5,量化私募的创投平台，最认可 Citadel、Jane Street 背景，也可能成为金融环境的客户。,,九坤创投 Ubiquant Ventures,VC,中国大陆（北京）,本赛道未找到；原力灵机（具身，天使）；九坤投资与微软亚洲研究院合作研究基于规则的 RL（推理模型）,未找到,A轮及更早；母基金+直投,王琛、姚齐聪（九坤投资创始人，共同创立九坤创投）,https://news.qq.com/rain/a/20250327A0ACXQ00,未找到,,无,高,【量化背景】量化私募的创投平台，本身做过 RL 推理研究，也有 AI Lab 和 Data Lab。对来自 Citadel/Millennium/Jane Street 的团队最容易认可，本身也可能成为金融 RL 环境的客户；需要核实是否有美元主体,中
国内,6,双币基金，天使轮投过专家数据，看重大模型客户订单。,,耀途资本 Glory Ventures,VC,中国大陆（双币）,智能知识/一面千识（天使轮，与锦秋联合）,智能知识（天使，联合投资）,中早期；管理7支双币基金，投了超120家公司,杨光、白宗义（创始合伙人）；温廷灿（投资总监，负责智能知识）,https://www.glory-ventures.com/；https://news.qq.com/rain/a/20260608A079S700,温廷灿：智识已获得头部大模型公司订单，完成初步PMF（搜索摘要）,https://zhuanlan.zhihu.com/p/2044128857192714401,智能知识/一面千识（专家数据）,中,【美元：双币】投过专家数据，看重大模型客户的订单；偏向硬件和基础设施，对纯数据服务的偏好一般,中
国内,7,种子轮领投过数据公司，公开称赞 90 后团队，有美元基金。,,BV百度风投 Baidu Ventures,VC,中国大陆（北京）/美国（美元+人民币）,简智机器人（种子领投，之后连续跟投）；觅蜂科技（种子跟投）,简智机器人（2025-08 种子轮）,种子到A轮；管理三支美元和人民币基金，共5亿美元,刘维（CEO）；齐玉杰、蔡薇（合伙人）；崔轲迪（投资副总裁，负责简智）,https://www.vbdata.cn/orgDetail/79ac61ad3598468689eb21a50216fee1；https://www.sohu.com/a/966588070_439726,崔轲迪：这支以90后为核心驱动的团队，帮助我们清晰勾勒出一家优秀数据智能公司应有的模样（搜索摘要）,https://www.sohu.com/a/966588070_439726,无（只投了具身数据）,中,【美元】【投过90后年轻团队】【大模型资源：百度文心】敢在种子轮领投数据公司，也投年轻团队；但目前方向集中在具身,中
国内,8,第六期美元基金刚首关，天使到 A 轮领投，单笔 100 万–1000 万美元，和我们的种子轮最吻合。,,线性资本 Linear Capital,VC,中国大陆（上海）/德国慕尼黑（美元为主）,本赛道未找到；方向覆盖 AI Infra 和具身,未找到本赛道领投,天使到A轮领投，单笔100万–1000万美元；第六期美元基金2026-09首关,王淮（创始合伙人，斯坦福硕士，Facebook 第二位华人工程师）,https://news.qq.com/rain/a/20260902A05SIU00；https://36kr.com/p/2826124530845959,王淮（转述）：AI 落地需要大量数据，数据往往是实际应用的重要限制（搜索摘要）,https://www.sohu.com/a/203332622_610473,无,中,【美元】【偏好技术和海归创始人】阶段和金额都和 SimReal 的种子轮吻合，新美元基金正在投资期；但对这个赛道的认知未经证实,中
国内,9,领投语用科技（前 Qwen 负责人创办），可以帮忙引荐这家新实验室做客户。,,高榕创投 Gaorong Ventures,VC,中国大陆（美元+人民币）,本赛道未找到；语用科技（林俊旸创办，前 Qwen 技术负责人，2026-08 联合领投）,语用科技（天使，估值20亿美元）,天使到成长期,张震、岳斌（创始合伙人）；负责语用科技的合伙人：未找到,https://www.itjuzi.com/investfirm/233,未找到,,无,中,【美元】【大模型资源：语用科技】被投的语用科技是一家新的后训练/Agent 实验室，也是 SimReal 的潜在客户；高榕本身没有投过数据公司,低
国内,10,最早孵化 RL 数据和环境方向（一面千识），可借它背书接触它投的大模型公司。,,奇绩创坛 MiraclePlus,加速器,中国大陆（北京）,智能知识/一面千识（种子，2025秋季营）；光轮智能（天使）；枢途科技（天使）；2026春季营数据方向10个项目,枢途科技（天使）,创业营录取就投，标准条款（无对赌、无回购、不要董事席位）；单笔金额未公开；累计投资25亿元,陆奇（创始人）,https://www.stdaily.com/web/gdxw/2026-05/06/content_512299.html,陆奇（转述）：研究成为直接生产力，算力成为核心生产工具，数据成为重要生产要素（搜索摘要）,https://www.huxiu.com/article/4864883.html,一面千识（专家数据，含RL数据合成和环境搭建）,中,【研究型创始人占45%】对 RL 数据和环境方向最早有认知；但主要投人民币、需要入营，对已经在融种子轮的团队价值有限，更适合拿来做背书或接触被投的大模型公司,中
国内,11,金融场景的大买家，也领投过数据基础设施；先做客户，再谈投资。,,蚂蚁集团（战略投资部）,战略投资,中国大陆（杭州）,光轮智能（2026-05 领投，估值超20亿美元）；简智机器人（2026-06 联合领投）；星尘智能、星海图（具身本体）,光轮智能；简智机器人,中后期较多，金额常在数亿元,纪纲（战略投资部副总裁）；齐源（投资总监，AI方向）,https://www.chnfund.com/article/AR04e1da73-1974-1946-c063-3a18e3edd362,未找到,,无（只投了具身数据）,中,【金融机构资源】蚂蚁本身就是金融场景的大买家（支付宝、财富、保险），也投数据基础设施；但战投偏后期，更现实的路径是先做客户再谈投资,低
国内,12,国内最大的数据买家，新团队开始系统投 AI 初创。,,字节跳动（投资部）,战略投资,香港/中国大陆,本赛道未找到直接数据公司；未来不远机器人（看中家庭场景数据闭环）；自变量机器人；是锦秋基金最大LP,未找到,未披露,蒋恺（香港财务投资部负责人，前 Coatue 合伙人，2026-09 加入，向 CFO 高准汇报）,https://news.pedaily.cn/202609/569061.shtml,未找到,,无（自建 Xpert 专家平台）,中,【大模型客户资源】国内最大的数据买家，新的投资负责人在香港，开始系统布局 AI 初创；但字节自建了专家平台，SimReal 更适合先做供应商,中
国内,13,早期领投过光轮，认可中美两边都能交付、服务海外实验室的数据公司。,,经纬创投 Matrix Partners China,VC,中国大陆（美元+人民币）,光轮智能（Pre-A 领投，Pre-A+ 跟投）,光轮智能（2024-05 Pre-A）,早期为主,王华东（管理合伙人）,https://startup.aliyun.com/info/1085453.html,王华东：光轮智能正迅速成为合成数据领域的国际顶尖企业，占据全球领先地位（搜索摘要）,https://startup.aliyun.com/info/1085453.html,无,中,"【美元】早期领投过数据/仿真基础设施，认可""中美双栖、服务海外实验室""的数据公司（光轮的客户包括英伟达、DeepMind）；在后训练数据方向的认知未经证实",中
国内,14,天使轮领投过数据基建公司简智。,,顺为资本 Shunwei Capital,VC,中国大陆（美元+人民币）,简智机器人（天使领投，之后跟投）,简智机器人（2025-12 天使）,天使到成长期,耿益璇（执行董事，负责简智）,https://www.sohu.com/a/966588070_439726,耿益璇：具身智能正迈向规模落地，高质量规模化数据供给是核心突破口（搜索摘要）,https://www.sohu.com/a/966588070_439726,无,中,【美元】敢在天使轮领投数据基建；小米生态有场景，但偏硬件和具身,中
国内,15,香港主体，和阿里、蚂蚁生态关系深，刚开始投美国的 AI 金融科技。,,云锋基金 Yunfeng Capital,VC,香港/上海（美元+人民币）,觅蜂科技（种子跟投）；千寻智能（具身）；Corgi（美国AI保险，约3000万美元，2026-08，是其首笔美国交易）,未找到本赛道领投,成长期为主，规模超500亿元,虞锋（创始人、主席）,https://finance.sina.com.cn/stock/estate/integration/2026-08-06/doc-inimmayv4440690.shtml,未找到,,无,中,【美元】【金融机构资源：与阿里/蚂蚁生态关系深】香港主体，开始投美国 AI 和金融科技（Corgi）；阶段偏后,中
国内,,,,启明创投 Qiming Venture Partners,VC,中国大陆/香港（美元+人民币）,本赛道未找到；AI 领域投了超过100个项目、合计120亿元,未找到,早期到成长期,周志峰（主管合伙人，2026 Midas List 第80位）,https://www.qimingvc.com/cn/team/%E5%91%A8%E5%BF%97%E5%B3%B0,启明 2026 AI 十大展望（周志峰发布）：具身智能的有效数据要从万小时级跳到百万小时级（搜索摘要）,https://news.pedaily.cn/202607/566546.shtml,无,中,"【美元】对""数据是瓶颈""有公开判断，但只落在具身方向；可以作为 A 轮时的储备",中
国内,,,,国方创投 / 国方创新,VC（国资背景）,中国大陆（上海）,光轮智能（A++/A+++ 及2026-05跟投）；觅蜂科技（2026-06 天使+领投）；据量子位统计，过去一年投具身数据服务商次数最多（3次）,觅蜂科技（天使+）,中后期；人民币,张治（行业合伙人）,https://news.pedaily.cn/202606/565296.shtml,张治：觅蜂科技不仅是数据服务商，更是数据要素市场的关键基建,https://news.pedaily.cn/202606/565296.shtml,无,低,"人民币国资，看重""数据要素""和上海产业落地；和美元、跨境的叙事不太合",中
国内,,,,鼎晖投资（鼎晖VGC / 鼎晖百孚）,VC/PE,中国大陆（美元+人民币）,觅蜂科技（种子跟投、天使+超额追加）；枢途科技（Pre-A 联合领投）；博登智能（A+/A++ 联合投资）,枢途科技（2026-09 Pre-A）,天使到成长期,未找到,,未找到,,无,中,【美元】过去一年连续投了三家数据公司，对数据赛道很积极；但目前都是具身或传统数据服务,中
国内,,,,辰韬资本,VC,中国大陆（上海）,光轮智能（种子/天使/天使+，A轮加注）,未找到,种子到A轮,萧伊婷（合伙人）,https://36kr.com/p/2357911477796104,萧伊婷：算法、算力和数据是人工智能的三要素，其中合成数据是构建高质量AI模型的核心关键（搜索摘要）,https://36kr.com/p/2357911477796104,无,中,最早看好合成数据的机构之一，阶段对得上；但偏自动驾驶和具身，主要是人民币,中
国内,,,,峰瑞资本 FreesFund,VC,中国大陆,整数智能（A轮领投）,整数智能（2024-08）,早期,陈石（投资合伙人）,https://www.chinaventure.com.cn/news/80-20240813-382497.html,"陈石：""前沿数据缺失""已成为阻碍AI行业发展的最大障碍，解决方法是人机结合方式的""数据生产""（搜索摘要）",https://www.chinaventure.com.cn/news/80-20240813-382497.html,无（整数智能是传统标注）,中,"对""人机结合生产前沿数据""有明确判断，和专家数据+环境的叙事一致；需要核实美元能力",中
国内,,,,东方富海,VC,中国大陆（深圳）,光轮智能（A/A+ 联合投资）,未找到,A轮前后；人民币,王鑫（合伙人）,https://finance.sina.com.cn/roll/2025-11-19/doc-infxyazu2920960.shtml,王鑫：具身智能是人工智能发展的必然方向，而数据是制约其发展的核心瓶颈（搜索摘要）,https://finance.sina.com.cn/roll/2025-11-19/doc-infxyazu2920960.shtml,无,低,认可数据是瓶颈，但只看具身，人民币,中
国内,,,,琥珀资本,VC,中国大陆,光轮智能（A轮）,未找到,未披露,未找到,,琥珀资本投资人（未具名）：高质量、物理精准的仿真数据是稀缺资源（搜索摘要）,https://finance.sina.com.cn/roll/2025-11-19/doc-infxyazu2920960.shtml,无,低,只投过一笔具身仿真数据,低
国内,,,,三七互娱,战略投资,中国大陆（广州）,光轮智能（A轮，2026-05 超额跟投）,未找到,未披露,未找到,,三七互娱投资人（未具名）：光轮智能将高精度仿真技术用于AI训练……与三七互娱在AI产业链和数字资产方面的布局高度契合（搜索摘要）,https://finance.sina.com.cn/roll/2025-11-19/doc-infxyazu2920960.shtml,无,低,上市游戏公司做产业投资，关注3D/仿真，和金融环境关系不大,中
国内,,,,清新资本,VC,中国大陆,光轮智能（A++/A+++）；博登智能（A+/A++）,未找到,成长期,未找到,,未找到,,无,低,连续跟投两家数据公司，但阶段偏后,中
国内,,,,建投投资（建投华科）,VC（国资）,中国大陆（北京）,光轮智能（A++/A+++ 及2026-05）,未找到,成长期,未找到,,未找到,,无,低,国资财务投资，阶段偏后,中
国内,,,,北京市人工智能产业投资基金,VC（政府产业基金）,中国大陆（北京）,光轮智能（Pre-A+ 主导）,光轮智能（2024-10）,早期到成长期；人民币,未找到,,未找到,,无,低,北京 AI 产业基金敢在早期主导数据基础设施，但要求在北京落地、用人民币,中
国内,,,,中关村科学城基金,VC（政府基金）,中国大陆（北京）,光轮智能（2026-06 10亿元战略轮，领衔）,光轮智能,后期,未找到,,未找到,,无,低,政府基金，阶段偏后,中
国内,,,,天际资本 FutureX Capital,VC,中国大陆,恺望数据（2026-08 联合领投）,恺望数据,早期到成长期,张倩（创始合伙人）；邵海涛（合伙人，LinkedIn 搜索摘要）,https://www.sohu.com/a/762711136_121669651,未找到,,无,低,投过具身/自动驾驶数据，阶段偏后,中
国内,,,,北京亦庄产业升级基金,VC（政府产业基金）,中国大陆（北京）,恺望数据（2026-08 联合领投）,恺望数据,未披露,未找到,,未找到,,无,低,地方产业基金，要求本地落地,高
国内,,,,华方资本,VC,中国大陆,恺望数据（2026-08 联合领投）,恺望数据,未披露,未找到,,未找到,,无,低,只投过一笔具身数据,高
国内,,,,滴滴（战略投资）,战略投资,中国大陆（北京）,简智机器人（2026-06 联合领投）,简智机器人,未披露,未找到,,未找到,,无,低,产业战投，关注出行和具身,中
国内,,,,德联资本,VC,中国大陆,简智机器人（2026-06 联合领投）,简智机器人,未披露,未找到,,未找到,,无,低,只投过一笔具身数据,中
国内,,,,Momenta（战略投资）,战略投资,中国大陆（苏州/北京）,简智机器人（种子跟投，2026-08 A轮领投）,简智机器人,未披露,未找到,,未找到,,无,低,简智创始人来自 Momenta，属于老东家战投,中
国内,,,,中国电信（战略投资）,战略投资（央企）,中国大陆,觅蜂科技（2026-08 领投）,觅蜂科技,未披露,未找到,,未找到,,无,低,央企战投，看重具身数据的平台属性,中
国内,,,,赛富投资基金 SAIF Partners,VC,中国大陆/香港（美元+人民币）,本赛道未找到；GIM（金融垂域AI，天使+领投）,GIM（2026-06）,天使到成长期,未找到,,未找到,,无,中,【美元】【投过金融AI年轻团队】愿意在天使轮领投金融 AI,中
国内,,,,今日资本 Capital Today,VC,中国大陆/香港（美元）,TalentsAI（TalentsAI 官网称获其投资，未核）；智谱（早期，B3轮）；星海图,未找到,早期到成长期,徐新（创始合伙人）,https://www.cls.cn/detail/1730097,徐新（转述）：人口多、场景多，所以数据量在我们手上（搜索摘要）,https://caifuhao.eastmoney.com/news/20260803105404152054380,TalentsAI（专家数据，未核）,中,【美元】【大模型资源：智谱早期股东】如果确实投了 TalentsAI，说明认可专家数据；需要先核实,低
国内,,,,Sky9 Capital（天善资本）,VC,美国旧金山、波士顿/北京/上海/新加坡（美元）,本赛道未找到；月之暗面,未找到,种子到成长期；管理规模20亿美元,未找到（https://www.sky9capital.com/team/ 未能打开）,,未找到,,无,中,"【美元】【新加坡】在中美和新加坡都有团队，适合""中美双栖""的公司；赛道认知未经证实",低
国内,,,,蓝驰创投 BlueRun Ventures,VC,中国大陆（美元+人民币）,本赛道未找到；月之暗面、PPIO、潞晨科技（AI基础设施）,未找到,早期；新募39亿元,陈维广、朱天宇（管理合伙人）,https://www.geekpark.net/news/339166,未找到,,无,中,【美元】【大模型资源：月之暗面】重仓 AI 基础设施早期，但没有投过数据公司,中
国内,,,,美团龙珠 / 美团战投,战略投资,中国大陆（北京）,本赛道未找到；月之暗面（2026-05 领投20亿美元）；智谱（持股约4%）,月之暗面,中后期,朱拥华（美团龙珠创始合伙人）；陈少晖（美团CFO，负责美团战投）,https://www.21jingji.com/article/20260606/762a171888d08f153e5c5722d19563b5.html,未找到,,无,低,【大模型资源：月之暗面、智谱】可以把 SimReal 引荐给被投的大模型公司，但本身不投早期数据公司,中
国内,,,已重注竞品 UniPat，更适合当客户。,阿里巴巴（战略投资）,战略投资,中国大陆（杭州）,UniPat AI（2026-09 拟领投3亿美元，估值25亿美元，同时提供每年数千万元的算力支持）,UniPat AI,后期大额,未找到,,未找到,,UniPat AI,低,【大模型客户资源：通义千问】阿里是买家，也已经重注了竞品 UniPat；更适合做客户，不适合做种子投资人,中
国内,,,已重注竞品 UniPat，更适合当客户。,腾讯（投资）,战略投资,中国大陆（深圳）,UniPat AI（跟投）；语用科技（参与）；Forbes 报道腾讯向 Surge AI 采购训练数据,未找到,中后期,李朝晖（腾讯投资管理合伙人）；负责 UniPat 交易的人：未找到,https://www.36kr.com/p/681376812040583,未找到,,UniPat AI,低,【大模型客户资源：混元】是买家，已投竞品，阶段偏后,中
国内,,,,智谱 Z基金,战略投资,中国大陆（北京）,本赛道未找到；趋境科技等 AI 基础设施,未找到,早期；首关规模15亿元,未找到,,未找到,,无,低,【大模型客户资源：智谱】大模型公司的生态基金，更适合当渠道,中
国内,,,,Spinel Capital（尖晶资本）,VC,中国大陆（上海）,Abaka AI（A轮）,未找到,未披露,未找到,,未找到,,Abaka AI（多模态数据/评测）,低,投过中国团队出海做的数据公司；机构信息很少,低
国内,,,,Future Value Capital,VC,中国大陆（上海/福州/深圳）,Abaka AI（A轮）,未找到,未披露,未找到,,未找到,,Abaka AI（多模态数据/评测）,低,投过中国团队出海做的数据公司；机构信息很少,低
国内,,,,KIP中国（韩投伙伴）,VC,中国大陆（上海，韩资）,龙猫数据（Pre-B 领投，日期存疑）,龙猫数据,未披露；中国区管理7支基金，超50亿元,扈景植 Hudson Ho（中国区负责人）,https://www.itjuzi.com/investfirm/1476,未找到,,无（龙猫是传统标注）,低,只投过传统标注，也没有近期的 AI 数据交易,低
国内,,,,金沙江创投 GSR Ventures,VC,中国大陆（美元+人民币）,龙猫数据（A轮领投，早期）,龙猫数据,早期,朱啸虎（主管合伙人）,https://gsrventureschina.com/team,未找到,,无,低,【美元】投过传统标注，而且公开看空部分 AI 硬件，对这个赛道兴趣不明,低
国内,,,,华映资本,VC,中国大陆,星尘数据（A轮领投，2023）,星尘数据,早期到成长期,章高男（管理合伙人）,https://www.chinaventure.com.cn/news/108-20230104-373008.html,章高男：星尘数据是标注赛道的领先企业……我们看好星尘数据在算法辅助标注方面的技术领先性（搜索摘要）,https://www.chinaventure.com.cn/news/108-20230104-373008.html,无（星尘数据是自动驾驶标注）,低,认知停留在自动驾驶标注阶段,中
国内,,,,淡马锡 / Vertex（新加坡）,VC/主权基金,新加坡,本赛道未找到中国交易；2026年上半年 GIC 和淡马锡共做了13笔 AI 交易（Anthropic、OpenAI 等）；淡马锡在中国的敞口增加77亿美元，转向 AI,未找到,后期为主；Vertex 投早期,未找到,,未找到,,无,低,【新加坡】【美元】如果 SimReal 设新加坡主体，可以作为长期储备；目前没有看到早期数据交易,中
国内,,,,香港投资管理有限公司 HKIC（港投公司）,VC（政府基金）,香港,本赛道未找到；在 AI 方向投了商汤、银河通用等,未找到,规模620亿港元；各阶段都投,未找到,,未找到,,无,低,【香港】政府引导型基金，要求在香港落地,中
